"Your Kindle Notes For:",,,
"SO GOOD THEY CAN'T IGNORE YOU: WHY SKILLS TRUMP PASSION IN THE QUEST FOR WORK YOU LOVE",,,
"by Cal Newport",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2c40sxt",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 1048","","“When I look back now, I’m humiliated that I ever showed it to anyone,” Alex recalled. But it was necessary if he was going to get better. “I hope I can look back ten years later and say the same about what I’m writing now.”"
"Highlight (Yellow)","Location 1051","","He stretched his abilities by taking on projects that were beyond his current comfort zone;"
"Highlight (Yellow)","Location 1101","","Step 1: Decide What Capital Market You’re In"
"Highlight (Yellow)","Location 1103","","There are two types of these markets: winner-take-all and auction."
"Highlight (Yellow)","Location 1104","","In a winner-take-all market, there is only one type of career capital available, and lots of different people competing for it."
"Highlight (Yellow)","Location 1106","","An auction market, by contrast, is less structured: There are many different types of career capital, and each person might generate a unique collection."
"Highlight (Yellow)","Location 1115","","If you want a career in television writing, as Alex discovered, only one thing matters: the quality of your scripts."
"Highlight (Yellow)","Location 1126","","The problem, however, is that blogging in the advice space—where his site existed—is not an auction market, it’s winner-take-all. The only capital that matters is whether or not your posts compel the reader."
"Highlight (Yellow)","Location 1128","","Some top blogs in this space have notoriously clunky designs, but they all accomplish the same baseline goal: They inspire their readers."
"Highlight (Yellow)","Location 1133","","Step 2: Identify Your Capital Type"
"Highlight (Yellow)","Location 1134","","If you’re in a winner-take-all market, this is trivial: By definition, there’s only one type of capital that matters."
"Highlight (Yellow)","Location 1135","","For an auction market, however, you have flexibility. A useful heuristic in this situation is to seek open gates—opportunities to build capital that are already open to you."
"Highlight (Yellow)","Location 1141","","The advantage of open gates is that they get you farther faster, in terms of career capital acquisition, than starting from scratch."
"Highlight (Yellow)","Location 1143","","it’s hard to start from scratch in a new field."
"Highlight (Yellow)","Location 1146","","Step 3: Define “Good”"
"Highlight (Yellow)","Location 1146","","once you’ve identified exactly what skill to build, that you can, for guidance, begin to draw from the research on deliberate practice."
"Highlight (Yellow)","Location 1148","","you need clear goals. If you don’t know where you’re trying to get to, then it’s hard to take effective action."
"Highlight (Yellow)","Location 1150","","Deliberate practice] requires good goals.”"
"Highlight (Yellow)","Location 1156","","Step 4: Stretch and Destroy"
"Highlight (Yellow)","Location 1158","","Doing things we know how to do well is enjoyable, and that’s exactly the opposite of what deliberate practice demands…. Deliberate practice is above all an effort of focus and concentration. That is what makes it “deliberate,” as distinct from the mindless playing of scales or hitting of tennis balls that most people engage in."
"Highlight (Yellow)","Location 1162","","The good news about deliberate practice is that it will push you past this plateau and into a realm where you have little competition."
"Highlight (Yellow)","Location 1163","","The bad news is that the reason so few people accomplish this feat is exactly because of the trait Colvin warned us about: Deliberate practice is often the opposite of enjoyable."
"Highlight (Yellow)","Location 1164","","I like the term “stretch” for describing what deliberate practice feels like,"
"Highlight (Yellow)","Location 1169","","If you’re not uncomfortable, then you’re probably stuck at an “acceptable level.”"
"Highlight (Yellow)","Location 1170","","Pushing past what’s comfortable, however, is only one part of the deliberate-practice story; the other part is embracing honest feedback—even if it destroys what you thought was good."
"Highlight (Yellow)","Location 1180","","Steve Martin explained his strategy for learning the banjo: “[I thought], if I stay with it, then one day I will have been playing for forty years, and anyone who sticks with something for forty years will be pretty good at it.”"
"Highlight (Yellow)","Location 1210","","RULE #3   Turn Down a Promotion"
"Highlight (Yellow)","Location 1270","","You have to get good before you can expect good work."
"Highlight (Yellow)","Location 1291","","The appeal of control, however, is not limited to farmers. Decades of scientific research have identified this trait as one of the most important you can pursue in the quest for a happier, more successful, and more meaningful life."
"Highlight (Yellow)","Location 1294","","As Pink summarizes the literature, more control leads to better grades, better sports performance, better productivity, and more happiness."
"Highlight (Yellow)","Location 1311","","Giving people more control over what they do and how they do it increases their happiness, engagement, and sense of fulfillment."
"Highlight (Yellow)","Location 1317","","To summarize, if your goal is to love what you do, your first step is to acquire career capital. Your next step is to invest this capital in the traits that define great work. Control is one of the most important targets you can choose for this investment."
"Highlight (Yellow)","Location 1350","","Control that’s acquired without career capital is not sustainable."
"Highlight (Yellow)","Location 1368","","skipped over the part where they build a stable means to support their unconventional lifestyle. They assume that generating the courage to pursue control is what matters, while everything else is just a detail that is easily worked out."
"Highlight (Yellow)","Location 1375","","enthusiasm alone is not rare and valuable and is therefore not worth much in terms of career capital."
"Highlight (Yellow)","Location 1500","","The key, it seems, is to know when the time is right to become courageous in your career decisions. Get this timing right, and a fantastic working life awaits you, but get it wrong by tripping the first control trap in a premature bid for autonomy, and disaster lurks. The fault of the courage culture, therefore, is not its underlying message that courage is good, but its severe underestimation of the complexity involved in deploying this boldness in a useful way."
"Highlight (Yellow)","Location 1553","","Derek thought for a moment."
"Highlight (Yellow)","Location 1553","","“I have this principle about money that overrides my other life rules,” he said. “Do what people are willing to pay for.”"
"Highlight (Yellow)","Location 1556","","“Money is a neutral indicator of value. By aiming to make money, you’re aiming to be valuable.”"
"Highlight (Yellow)","Location 1559","","“If you’re struggling to raise money for an idea, or are thinking that you will support your idea with unrelated work, then you need to rethink the idea.”"
"Highlight (Yellow)","Location 1569","","The Law of Financial Viability When deciding whether to follow an appealing pursuit that will introduce more control into your work life, seek evidence of whether people are willing to pay for it. If you find this evidence, continue. If not, move on."
"Highlight (Yellow)","Location 1616","","Unless people are willing to pay you, it’s not an idea you’re ready to go after."
"Highlight (Yellow)","Location 1617","","RULE #4   Think Small, Act Big"
"Highlight (Yellow)","Location 1650","","her happiness comes from the fact that she built her career on a clear and compelling mission—"
"Highlight (Yellow)","Location 1652","","Her goal, put simply, is to rid the world of its most ancient and deadly diseases."
"Highlight (Yellow)","Location 1688","","How do you make mission a reality in your working life?"
"Highlight (Yellow)","Location 1723","","just because you really want to organize your work around a mission doesn’t mean that you can easily make it happen."
"Highlight (Yellow)","Location 1761","","We like to think of innovation as striking us in a stunning eureka moment, where you all at once change the way people see the world, leaping far ahead of our current understanding. I’m arguing that in reality, innovation is more systematic. We grind away to expand the cutting edge, opening up new problems in the adjacent possible to tackle and therefore expand the cutting edge some more, opening up more new problems,"
"Highlight (Yellow)","Location 1768","","Scientific breakthroughs, as we just learned, require that you first get to the cutting edge of your field. Only then can you see the adjacent possible beyond, the space where innovative ideas are almost always discovered."
"Highlight (Yellow)","Location 1771","","A good career mission is similar to a scientific breakthrough—it’s an innovation waiting to be discovered in the adjacent possible of your field."
"Highlight (Yellow)","Location 1772","","If you want to identify a mission for your working life, therefore, you must first get to the cutting edge—the only place where these missions become visible."
"Highlight (Yellow)","Location 1775","","as a new graduate student, she was much too far from the cutting edge to have any hope of surveying the adjacent possible, and if she can’t see the adjacent possible, she’s not likely to identify a compelling new direction for her work."
"Highlight (Yellow)","Location 1777","","Sarah would have been better served by first mastering a promising niche—a task that may take years—and only then turning her attention to seeking a mission."
"Highlight (Yellow)","Location 1793","","If you want a mission, you need to first acquire capital."
"Highlight (Yellow)","Location 1834","","Advancing to the cutting edge in a field is an act of “small” thinking, requiring you to focus on a narrow collection of subjects for a potentially long time. Once you get to the cutting edge, however, and discover a mission in the adjacent possible, you must go after it with zeal: a “big” action."
"Highlight (Yellow)","Location 1855","","had notebooks filled with potential missions, yet I had resisted devoting myself to any one in particular."
"Highlight (Yellow)","Location 1858","","Once you have the capital required to identify a mission, you must still figure out how to put the mission into practice."
"Highlight (Yellow)","Location 1961","","titled Little Bets, and it was written by a former venture capitalist named Peter Sims."
"Highlight (Yellow)","Location 1963","","“Rather than believing they have to start with a big idea or plan out a whole project in advance,” he writes, “they make a methodical series of little bets about what might be a good direction, learning critical information from lots of little failures and from small but significant wins” [emphasis mine]. This rapid and frequent feedback, Sims argues, “allows them to find unexpected avenues and arrive at extraordinary outcomes.”"
"Highlight (Yellow)","Location 1974","","The important thing about little bets is that they’re bite-sized. You try one. It takes a few months at most. It either succeeds or fails, but either way you get important feedback to guide your next steps."
"Highlight (Yellow)","Location 1990","","To maximize your chances of success, you should deploy small, concrete experiments that return concrete feedback."
"Highlight (Yellow)","Location 1992","","These bets allow you to tentatively explore the specific avenues surrounding your general mission, looking for those with the highest likelihood of leading to outstanding results."
"Highlight (Yellow)","Location 2057","","“You’re either remarkable or invisible,” says Seth Godin in his 2002 bestseller, Purple Cow."
"Highlight (Yellow)","Location 2058","","“The world is full of boring stuff—brown cows—which is why so few people pay attention…. A purple cow… now that would stand out. Remarkable marketing is the art of building things worth noticing.”"
"Highlight (Yellow)","Location 2060","","For his mission to build a sustainable career, it had to produce purple cows, the type of remarkable projects that compel people to spread the word."
"Highlight (Yellow)","Location 2062","","In the world of computer programming, where does one launch remarkable projects?"
"Highlight (Yellow)","Location 2065","","Featured among Fowler’s fifty-two strategies is the idea that the job seeker should leverage the open-source software movement."
"Highlight (Yellow)","Location 2069","","Giles told me. “The synthesis of Purple Cow and My Job Went to India is that the best way to market yourself as a programmer is to create remarkable open-source software. So I did.”"
"Highlight (Yellow)","Location 2077","","“I basically took Chad Fowler’s advice way too far and went to speak at almost every user group and conference that I could—at"
"Highlight (Yellow)","Location 2082","","a good mission-driven project must be remarkable in two different ways."
"Highlight (Yellow)","Location 2083","","First, it should be remarkable in the literal sense of compelling people to remark about it."
"Highlight (Yellow)","Location 2093","","There’s also, however, a second type of remarkability at play. Giles didn’t just find a project that compels remarks, but he also spread the word about the project in a venue that supports these remarks."
"Highlight (Yellow)","Location 2095","","In his case, this venue was the open-source software community."
"Highlight (Yellow)","Location 2096","","Without this conduciveness to chatter, a purple cow, though striking, may never be seen."
"Highlight (Yellow)","Location 2100","","I realized early on in my process that blogging was a remarkable venue for introducing my ideas. Blogs are visible and the infrastructure is in place for good ideas to quickly spread,"
"Highlight (Yellow)","Location 2107","","The Law of Remarkability For a mission-driven project to succeed, it should be remarkable in two different ways. First, it must compel people who encounter it to remark about it to others. Second, it must be launched in a venue that supports such remarking."
"Highlight (Yellow)","Location 2137","","To construct work you love, you must first build career capital by mastering rare and valuable skills, and then cash in this capital for the type of traits that define compelling careers. Mission is one of those traits."
"Highlight (Yellow)","Location 2187","","become good at something rare and valuable, and then invest the career capital this generates into the type of traits that make a job great."
"Highlight (Yellow)","Location 2273","","I decided that focusing my attention on a bottom-up understanding of my own field’s most difficult results would be a good first step toward revitalizing my career capital stores."
"Highlight (Yellow)","Location 2279","","I faced immediate internal resistance."
"Highlight (Yellow)","Location 2281","","To combat this resistance, I deployed two types of structure."
"Highlight (Yellow)","Location 2282","","The first type was time structure: “I am going to work on this for one hour,” I would tell myself. “I don’t care if I faint from the effort, or make no progress, for the next hour this is my whole world.”"
"Highlight (Yellow)","Location 2285","","The second type of structure I deployed was information structure—a way of capturing the results of my hard focus in a useful form."
"Highlight (Yellow)","Location 2305","","My Research Bible Routine"
"Highlight (Yellow)","Location 2307","","document I keep on my computer. Here’s the routine: Once a week I require myself to summarize in my “bible” a paper I think might be relevant to my research."
"Highlight (Yellow)","Location 2312","","The sheet has a row for each month on which I keep a tally of the total number of hours I’ve spent that month in a state of deliberate practice. I started"
"Highlight (Yellow)","Location 2318","","My Theory-Notebook Routine"
"Highlight (Yellow)","Location 2321","","I use this notebook when brainstorming new theory results. At the end of each of these brainstorming sessions I require myself to formally record the results, by hand, on a dated page."
"Highlight (Yellow)","Location 2384","","law of financial viability, and described it as follows: “When deciding whether to follow an appealing pursuit that will introduce more control into your work life, ask yourself whether people are willing to pay you for it. If so, continue. If not, move on.”"
"Highlight (Yellow)","Location 2388","","they were willing to pay me well for this move toward autonomy,"
"Highlight (Yellow)","Location 2434","","This background-research process, which combines exposure to potentially relevant material with free-form re-combination of ideas, comes straight out of Steven Johnson’s book, Where Good Ideas Come From,"
"Highlight (Yellow)","Location 2437","","According to Johnson, access to new ideas and to the “liquid networks” that facilitate their mixing and matching often provides the catalyst for breakthrough new ideas."
"Highlight (Yellow)","Location 2442","","a little bet, in the setting of mission exploration, has the following characteristics:"
"Highlight (Yellow)","Location 2443","","It’s a project small enough to be completed in less than a month."
"Highlight (Yellow)","Location 2444","","It forces you to create new value (e.g., master a new skill and produce new results that didn’t exist before)."
"Highlight (Yellow)","Location 2445","","It produces a concrete result that you can use to gather concrete feedback."
"Highlight (Yellow)","Location 2451","","When a little bet finishes, I use the concrete feedback it generates to guide my research efforts going forward. This feedback tells me, for example, whether a given project should be aborted and, if not, what direction is most promising to explore next."
"Highlight (Yellow)","Location 2455","","In other words, the system as a whole is a closed feedback loop—constantly evolving toward a clearer and better supported vision for my work."
"Highlight (Yellow)","Location 2469","","His experience at the monastery had freed him from the escapist thoughts of fantasy jobs that had once dominated his mind."
"Highlight (Yellow)","Location 2469","","He was able instead to focus on the tasks he was given and on accomplishing them well. He was free from the constant, draining comparisons he used to make between his current work and some magical future occupation waiting to be discovered."
"Highlight (Yellow)","Location 2476","","Thomas acquired these traits not by matching his work to his passion, but instead by doing his work well and then strategically cashing in the capital it generated."
"Highlight (Yellow)","Location 2480","","Working right trumps finding the right work."
"Highlight (Yellow)","Location 2491","","Don’t obsess over discovering your true calling. Instead, master rare and valuable skills."
